1934,22,6,42,56,6,58,8,85
1935,17,8,32,6,54,2,63,6,88
1936,15,8,28,41,4,72,85,2
1937,27,8,35,6,38,2,58,4,62,6
1938,15,21,4,32,56,83
1939,29,4,36,2,61,115,2,117,8
1940,28,8,67,94,119,135,2
1941,14,2,21,25,6,44,51
1942,27,42,66,2,82,6,85,6
1946,18,32,46,2,58,74,4
1947,24,32,6,35,8,37,8,64,6
1948,28,40,4,45,8,64,6,87
1949,28,8,37,6,55,6,74,4,97,4
1950,55,8,58,2,58,4,71,4,71,4
1951,24,2,30,2,54,8,NaN,117,5
1952,15,4,22,24,24,2,43,6
1954,15,4,23,6,32,55,6,60
1956,44,4,45,8,47,6,82,8,98,4
1957,23,4,30,37,49,75
1958,14,8,23,8,31,4,58,6,86,6
1960,27,2,55,4,81,6,141,6,163,8
1961,27,2,49,58,6,72,6,108,4
1962,27,4,39,8,45,4,55,83,8
1963,54,8,56,6,56,8,56,8,81,8
1964,25,8,29,33,8,50,2,63,6
1966,27,39,68,124,192
1967,13,29,51,61,72,6
1968,21,33,2,37,2,51,4,67,2
1971,14,6,31,6,39,6,45,2,67,6
1972,12,6,29,4,48,8,51,2,51,2
1973,18,8,21,2,33,4,59,4,66,4
1974,18,8,34,44,45,51,6
1975,18,8,20,30,55,97
1976,22,8,33,56,98,169
1977,12,8,20,33,6,45,68,8
1978,25,2,26,8,27,4,52,6,93
1979,19,2,34,6,54,2,108,153,8
1980,21,4,58,6,103,8,152,2,182
1981,31,2,79,79,81,162
1982,19,31,6,49,8,87,4,101,2
1983,24,2,33,2,37,56,72,4
1984,19,6,20,8,29,6,40,2,56,8
1986,17,6,22,6,31,8,33,4,53,8
1987,30,50,67,95,115,2
1988,26,8,41,8,58,62,4,85,8
1989,20,8,27,6,37,4,48,8,71,8
1990,22,6,28,8,44,63,4,94,2
1991,18,6,24,45,5,75,8,105,6
1992,13,4,20,6,34,6,60,77,8
1997,13,8,23,8,37,6,61,4,70,6
1998,29,6,34,48,4,66,2,80,2
1999,36,4,69,2,70,8,119,4,134,6
2000,36,4,42,2,52,8,90,120,4
2003,37,4,38,8,62,8,101,121,6
2004,42,2,43,45,2,57,6,80,4
2005,18,4,27,2,35,2,43,8,44,6
2006,17,6,36,6,51,55,8,68
