anno,15min,30min,45min
1951,nan,23,nan
1952,nan,13.2,nan
1958,nan,9.8,nan
1959,nan,nan,nan
1960,nan,20,25
1961,13.2,nan,nan
1962,14.4,23.8,nan
1963,28,40,47
1964,22,24.2,24.8
1966,15.8,20.6,22.6
1967,9,10.2,12
1968,14,17,18
1971,8.8,12,14
1972,5.2,8.4,9.6
1973,10.4,14.6,17.4
1974,9.4,13,15.4
1976,nan,20.6,nan
1977,7.8,11.2,11.4
1978,19,22,23.6
1979,13.2,14.4,17
1980,10.4,13.2,nan
1981,19.8,23.6,25
1982,15,17.6,18.8
1983,10.2,14,20.8
1984,12.2,14.4,18.8
1986,10.6,17.6,17.6
1987,10,18,22.6
1988,10.8,15.8,23
1989,14.4,19,19.2
1990,13.6,18,20.4
1991,nan,16,18.6
1992,nan,8,10
1997,8.8,10.4,12.8
1998,13.6,20.2,24.2
1999,21,26.6,29
2000,23.2,33,34.8
2003,16.2,27,34.8
2004,25.8,37.4,40.2
2005,11.4,15.6,17
2006,9.8,13.4,16.6
